Date,S&P 500,,Date,Gold,,Date,Platinum,,Date,Copper,,Date,Silver
2017-02-03,2297.419922,,2017-02-03," $	1,215.20 ",,2017-02-02," $	1,003.00 ",,2017-02-03, $	2.61 ,,1990-01-01, $	5.21 
2017-02-02,2280.850098,,2017-02-02," $	1,222.00 ",,2017-02-01, $	996.00 ,,2017-02-02, $	2.68 ,,1990-01-02, $	5.16 
2017-02-01,2279.550049,,2017-02-01," $	1,203.70 ",,2017-01-31, $	987.00 ,,2017-02-01, $	2.70 ,,1990-01-03, $	5.21 
2017-01-31,2278.870117,,2017-01-31," $	1,212.80 ",,2017-01-30, $	978.00 ,,2017-01-31, $	2.72 ,,1990-01-04, $	5.27 
2017-01-30,2280.899902,,2017-01-30," $	1,192.80 ",,2017-01-27, $	970.00 ,,2017-01-30, $	2.65 ,,1990-01-05, $	5.27 
2017-01-27,2294.689941,,2017-01-27," $	1,184.90 ",,2017-01-26, $	981.00 ,,2017-01-27, $	2.68 ,,1990-01-06, $	5.30 
2017-01-26,2296.679932,,2017-01-26," $	1,189.70 ",,2017-01-25, $	990.00 ,,2017-01-26, $	2.67 ,,1990-01-07, $	5.28 
2017-01-25,2298.370117,,2017-01-25," $	1,195.00 ",,2017-01-24, $	979.00 ,,2017-01-25, $	2.70 ,,1990-01-08, $	5.25 
2017-01-24,2280.070068,,2017-01-24," $	1,216.80 ",,2017-01-23, $	979.00 ,,2017-01-24, $	2.70 ,,1990-01-09, $	5.28 
2017-01-23,2265.199951,,2017-01-23," $	1,212.85 ",,2017-01-20, $	955.00 ,,2017-01-23, $	2.64 ,,1990-01-10, $	5.31 
2017-01-20,2271.310059,,2017-01-20," $	1,200.55 ",,2017-01-19, $	964.00 ,,2017-01-20, $	2.62 ,,1990-01-11, $	5.35 
2017-01-19,2263.689941,,2017-01-19," $	1,196.05 ",,2017-01-18, $	974.00 ,,2017-01-19, $	2.60 ,,1990-01-12, $	5.34 
2017-01-18,2271.889893,,2017-01-18," $	1,214.75 ",,2017-01-17, $	994.00 ,,2017-01-18, $	2.61 ,,1990-01-13, $	5.31 
2017-01-17,2267.889893,,2017-01-17," $	1,216.05 ",,2017-01-16, $	983.00 ,,2017-01-17, $	2.62 ,,1990-01-14, $	5.30 
2017-01-13,2274.639893,,2017-01-16," $	1,203.00 ",,2017-01-13, $	975.00 ,,2017-01-13, $	2.68 ,,1990-01-15, $	5.24 
2017-01-12,2270.439941,,2017-01-13," $	1,190.35 ",,2017-01-12, $	990.00 ,,2017-01-12, $	2.66 ,,1990-01-16, $	5.23 
2017-01-11,2275.320068,,2017-01-12," $	1,205.05 ",,2017-01-11, $	980.00 ,,2017-01-11, $	2.60 ,,1990-01-17, $	5.25 
2017-01-10,2268.899902,,2017-01-11," $	1,178.55 ",,2017-01-10, $	971.00 ,,2017-01-10, $	2.60 ,,1990-01-18, $	5.21 
2017-01-09,2268.899902,,2017-01-10," $	1,189.50 ",,2017-01-09, $	971.00 ,,2017-01-09, $	2.53 ,,1990-01-19, $	5.20 
2017-01-06,2276.97998,,2017-01-09," $	1,178.50 ",,2017-01-06, $	968.00 ,,2017-01-06, $	2.54 ,,1990-01-20, $	5.21 
2017-01-05,2269,,2017-01-06," $	1,175.85 ",,2017-01-05, $	952.00 ,,2017-01-05, $	2.53 ,,1990-01-21, $	5.20 
2017-01-04,2270.75,,2017-01-05," $	1,176.70 ",,2017-01-04, $	942.00 ,,2017-01-04, $	2.55 ,,1990-01-22, $	5.28 
2017-01-03,2257.830078,,2017-01-04," $	1,164.25 ",,2017-01-03, $	906.00 ,,2017-01-03, $	2.48 ,,1990-01-23, $	5.31 
2016-12-30,2238.830078,,2017-01-03," $	1,151.00 ",,2016-12-30, $	907.00 ,,2016-12-30, $	2.50 ,,1990-01-24, $	5.23 
2016-12-29,2249.26001,,2017-01-02," $	1,145.90 ",,2016-12-29, $	905.00 ,,2016-12-29, $	2.48 ,,1990-01-25, $	5.26 
2016-12-28,2249.919922,,2016-12-30," $	1,145.90 ",,2016-12-28, $	903.00 ,,2016-12-28, $	2.50 ,,1990-01-26, $	5.22 
